smiles,Delta_Gibbs
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N3CC3,-4.2
C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)CCl,-4.2
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N(C)C,-4.2
CC(=O)NC1=CC=C(C2=CC=CC=C21)[N+](=O)[O-],-4.5
CN(C)S(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O,-4.7
CCCNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)OC,-4.5
C1=CC=C2C(=C1)C(=CC=C2[N+](=O)[O-])NC(=O)CCl,-4.4
CCNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)Br,-4.6
CCNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)OCC,-4.2
CCN(CC)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)C,-4.6
C1=CC=C2C(=C1)C(=CC(=C2N)Cl)[N+](=O)[O-],-4.1
CCN(CC)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl,-4.5
CC(C)NS(=O)(=O)C1=CC=C(C2=CC=CC=C21)OC,-4.7
CCOC1=CC=C(C2=CC=CC=C21)S(=O)(=O)NC(C)C,-4.7
CCN(CC)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)OCC,-4.4
CCOC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N(C)C,-4.3
CN(C)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl,-4.3
CCNS(=O)(=O)C1=CC(=C(C(=C1C)Cl)N)Cl,-3.8
CCCNS(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O,-4.5
C1=CC=C2C(=C1)C=CC=C2S(=O)CCl,-4.2
C1CC1NS(=O)(=O)C2=CC=C3CCC4=C3C2=CC=C4,-5.3
CCN(CC)S(=O)(=O)C1=C(C=C(C2=C1OC(=O)C=C2C)C)C,-4.6
CN(C)S(=O)(=O)C1=CC=C(C2=CC=CC=C21)OC,-4.2
C1CCC(C1)S(=O)(=O)C2=C3C=CC=NC3=C(C(=C2)F)O,-4.6
C1CCN(C1)S(=O)(=O)C2=CC(=C(C3=C2C=CC=N3)O)Cl,-4.5
C1CCC(C1)S(=O)(=O)C2=CC(=C(C3=C2C=CC=N3)O)Cl,-4.6
C1CCC(C1)S(=O)(=O)C2=C3C=CC=NC3=C(C=C2)O,-4.7
CC1=CC(=C2C=CC=NC2=C1O)S(=O)(=O)N3CCCC3,-4.6
CCNS(=O)(=O)C1=C(C(=C(C=C1)Cl)C)Cl,-3.9
CCNS(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)NC3=O,-4.8
CNS(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl,-4.4
C1CCN(C1)S(=O)(=O)C2=CC=C(C3=CC=CC=C32)Cl,-4.8
CCN(CC)S(=O)(=O)C1=CC=CC2=CC=CC=C21,-4.4
CCCCS(=O)(=O)C1=CC=C(C2=CC=CC=C21)Cl,-4.4
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N=C=S,-4.2
C=CS(=O)(=O)C1=CC=CC2=CC=CC=C21,-4.2
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)C=C,-4.1
CC(C)(C)S(=O)(=O)C1=CC=CC2=CC=CC=C21,-4.5
CC(=O)NC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N(C)C,-4.5
CC(C)NS(=O)(=O)C1=CC=C2CCC3=C2C1=CC=C3,-5.3
CC(=O)C1=C2C(=C(C=C1)O)C=CC=C2C(=O)C,-4.4
C1=CC2=C(C(=C1)S(=O)(=O)NCCCl)C(=CC=C2)Cl,-4.2
C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)N=C=S,-4.5
CS(=O)(=O)N1CCSC2=C1C=C(C=C2)Cl,-3.8
CCOC(=O)C1=CN=C(C2=CC=CC=C21)NC3CC3,-4.2
CCOC1=C2C(=C(C=C1)S(=O)(=O)NCC=C)C=CC=N2,-4.3
C1C2=CC=CC=C2C3=CC=CC=C3N1S(=O)(=O)C(F)(F)F,-5.1
CS(=O)(=O)N1CC=CC2=CC(=C(C=C21)Cl)Cl,-4.2
C1CC1C(=O)OC2=CC=C(C3=CC=CC=C32)O,-4.4
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N=O,-4.1
CCN(CC)S(=O)(=O)C1=CC=CC2=C1C=C(C=C2)OC,-4.3
C1C[C@@H]2[C@H](C1)N(C3=CC=CC=C23)S(=O)(=O)C(F)(F)F,-4.4
CCNS(=O)(=O)C1=CC(=CC2=C1NCC2)Cl,-4.3
CCS(=O)(=O)C1=C(C=CC2=CC=CC=C21)C,-4.5
CCOC1=NN(C2=CC=CC=C21)S(=O)(=O)C(C)(C)C,-4.2
CC1=C(C2=CC=CC=C2C(=C1)O)OC(=O)C(=C)C,-4.7
COC1=C(C2=CC=CC=C2C=C1)S(=O)(=O)C[N+]#[C-],-4.1
C[C@]12C[C@H]1C3=CC=CC=C3N(C2)S(=O)(=O)C(F)(F)F,-4.5
C1[C@H]([C@@H]1S(=O)(=O)C2=CC=CC3=CC=CC=C32)F,-4.6
COC1=CC2=C(C=C1)C=C(C=C2)Br,-4.0
COC1=CC2=CC=CC=C2C=C1,-4.0
CCOC1=CC2=CC=CC=C2C=C1,-4.1
C1=C(C=C(C2=C1C(=O)C(=O)N2)Cl)Cl,-4.2
C1=C(C=C(C2=C1NC(=O)C2=O)Cl)Cl,-4.2
CCN1C2=CC(=C(C=C2NC1=O)Cl)Cl,-4.1
CC1=CC2=C(N1)C=C(C=C2Cl)Cl,-3.8
C1=C2C(=CC(=C1Br)Br)NC(=O)C2=O,-4.1
C1=CC=C2C=C(C=CC2=C1)OC(F)F,-4.3
COC1=CC2=C(C=C1)C=CC(=C2)Br,-4.1
CC1=CC2=C(C=CC(=C2C1)C)C,-4.3
C1CC[C@H]2CCC[C@H]2C1,-3.4
C1=C2C(=CC(=C1Cl)Br)NC(=O)C2=O,-4.1
C1=CC=C2C(=C1)C(=C(N2)Cl)Cl,-3.8
C1=C2C(=CC(=C1Cl)Cl)NC(=O)C2=O,-4.1
C1=C2C(=CC(=C1Cl)Cl)NC(=S)N2,-3.7
COC1=CC2=C(C=C1)C=C(C=C2)Cl,-4.0
CC1=CC2=C(N1)C=CC(=C2Cl)Cl,-4.0
COC1=C(C2=CC=CC=C2C=C1)Cl,-4.0
COC1=CC2=C(C=CC=C2I)C=C1,-4.0
CC1=CC2=CC=CC=C2C=C1OC,-4.2
C1=CC(=C(C2=C1C(=O)C(=O)N2)Cl)Cl,-4.2
C1=CC2=C(C=C1I)C(=CC(=O)N2)O,-4.1
CC1=CC2=C(C=C1)C=CC(=C2)OC,-4.3
C1=C2C(=CC(=C1Cl)Cl)NC(=O)N2,-3.8
COC1=CC2=C(C=C1)C=C(C=C2)I,-4.0
COC1=CC2=C(N=C(C=C2C=C1)Cl)Cl,-4.0
C1=C(C=C(C2=C1SC(=O)N2)Cl)Cl,-3.9
C1=C(C=C(C2=C1NC(=O)C2=O)Br)Br,-4.2
C1=CC(=C2C(=C1Cl)C=CS2)Cl,-3.2
C1=C(C=C(C2=C1NC(=C2)C(=O)Cl)Cl)Cl,-4.2
COC1=C(C2=CC=CC=C2C=C1)CCl,-4.2
CC1=CC2=CC(=CC(=C2N1)Cl)Cl,-3.8
C1=C(C=C(C2=C1C(=O)OC(=O)N2)Cl)Cl,-4.1
C1=C(C=C(C2=C1C(=O)C(=O)N2)Br)Br,-4.2
COC1=C(C2=C(C=C1)C=C(C=C2)Br)Cl,-4.0
COC1=CC2=C(C=CC=C2Br)C=C1,-4.0
COC1=CC2=C(C=C1)C=C(C=C2)F,-4.0
C1=C2C(=CC(=C1Cl)Cl)N=CC(=O)N2,-4.0
CC1=CC(=C2C(=C1)C(=C(N2)C)C)C,-4.4
C1CC2C3CCC(C3)C2C1,-3.4
C1=C(C=C(C2=C1C(=O)C(=O)N2)Br)Cl,-4.2
C1=C2C(=C(C(=C1Cl)Cl)Cl)NC(=O)O2,-4.0
CCOC1=C(C2=CC=CC=C2C=C1)C,-4.2
C1=CC2=C(C=CC3=C2C(=C1)C(=O)N3)Cl,-4.7
C1=C(C=C(C2=C1C(=O)C(=O)N2)Cl)Br,-4.2
COC1=CC2=C(C=C1)C=CC(=C2)Cl,-4.1
CC1=CC2=C(C=C1)C=C(C=C2)OC,-4.2
C1CC2CC1C3C2C=CC3,-3.6
C1=CC=C2C(=C1)SC(=S)S2,-3.0
C1CSC2=C(S1)SC(=S)S2,-2.4
C1=CC(=C2C(=C1Cl)NC(=O)S2)Cl,-3.9
C1CCC2CCCC2C1,-3.3
C1=CC(=O)OC2=C(C=C(C=C21)Cl)Cl,-3.8
COC1=CC2=C(C=CC=C2Cl)C=C1,-4.0
C1=C(C=C(C2=C1NC(=O)C(=C2)O)Cl)Cl,-4.2
C1=CC2=C(C=C1Cl)C=C(N2)C#N,-3.9
COC1=CC2=C(C=C1)C=CC(=C2)F,-4.0
COC1=CC2=CC=CC=C2C(=C1)Cl,-4.1
COC1=CC2=C(C=C1)C(=CC=C2)Cl,-4.0
C1=CC2=C(SC(=C2C=C1)Cl)Cl,-3.6
C1SC2=C(S1)SC(=S)S2,-2.3
CC1=C(C=CC2=C1C=CC(=C2)Br)OC,-4.2
C1=C2C(=CC(=C1Cl)Cl)N=C(N2)CCl,-3.8
COC1=CC2=C(C=C1)C=C(CC2)Br,-4.0
C1=C(C=C(C2=C1NC(=S)O2)Cl)Cl,-3.6
CC1=C(C=CC2=CC=CC=C12)OC,-4.2
COC1=CC2=C(C=C1)C=C(S2)Br,-3.6
CC1=CC(=CC2=CC=CC=C12)OC,-4.3
C1=CC2=C(C=C1Br)C=C(C(=O)N2)Br,-4.1
C1=C(C=C(C2=C1NC(=C2)C#N)Cl)Cl,-4.0
C1CC[C@H]2CCC[C@@H]2C1,-3.3
C1=CC(=O)NC2=C1C(=CC(=C2)Cl)Cl,-4.4
C1=C(SC2=C1SC(=C2)Cl)Cl,-3.0
C1=CC(=O)NC2=C(C=C(C=C21)Br)Br,-4.1
C1=C2C(=CC(=C1Cl)Cl)OC(=S)N2,-3.6
C1=CSC2=C1SC(=S)S2,-2.5
C1=CC2=C(C=C1Cl)C(C(=O)N2)(Br)Br,-4.2
C1=C2C(=C(C(=C1Cl)Cl)Cl)C(=O)C(=O)N2,-4.2
C1=C(C=C(C2=C1NC(=O)S2)Cl)Cl,-3.9
C1=CC2=C(C=C1Cl)C=C(N2)Cl,-3.9
C1=CC(=C(C2=C1NC(=O)C2=O)Cl)Br,-4.1
C1CC(=O)OC2=C1C=C(C=C2Cl)Cl,-4.0
C1=CC(=C2C(=C1Br)C(=O)C(=O)N2)Br,-4.2
C1=C(C=C(C2=C1C(=O)NC(=O)N2)Cl)Cl,-4.4
C1=CC(=C(C2=C1SC(=O)N2)Cl)Cl,-3.8
CC1=C2C=CC(=CC2=CC=C1)OC,-4.2
C1CC[C@@H]2CCC[C@H]2C1,-3.3
C1=CC=C2C=C(C=CC2=C1)OCCl,-4.1
C1=C(C2=C(C(=C1Cl)Cl)C(=O)C(=O)N2)Cl,-4.3
C1=C(C=C(C2=C1C(=O)OC(=O)N2)Cl)Br,-4.1
C1=CC(=C2C(=C1Br)NC(=O)S2)Br,-3.8
C1=CC2=C(C=C1Cl)NC(=C2)Cl,-3.6
C1=CC(=C(C2=C1NC(=O)N2)Cl)Cl,-3.9
C1CC2C(C1)C3CC2C=C3,-3.4
C1=CC(=O)NC2=C(C=C(C=C21)Cl)Cl,-4.1
C1=CC(=O)NC2=C1C(=CC(=C2)Br)Cl,-4.5
C1=C(C=C(C2=C1NC(=S)N2)Cl)Cl,-3.7
C1=CC(=O)NC2=CC(=C(C=C21)Cl)Cl,-4.4
C1=CC(=C(C2=C1C=CC(=O)N2)Cl)Br,-4.2
C1=CC(=C2C(=C1C#N)NC(=O)C2=O)Br,-4.4
CN1C2=CC(=C(C=C2NC1=S)Cl)Cl,-3.7
C1CCC2C(C1)SC(=S)S2,-2.8
C1C2=C(C=CC(=C2)Cl)C(=C1C=O)Cl,-3.8
C1=CC2=C(C=C1Cl)C=C(N2)C(=O)Cl,-4.4
CC1=CC2=C(C=C1C)C=C(C=C2)OC,-4.5
C1=CC(=C(C2=C1NC(=N2)Cl)Cl)Cl,-3.9
C1=CC(=O)NC2=C(C=C(C=C21)Br)I,-4.2
C1=CC(=O)NC2=C1C(=CC(=C2)I)Cl,-4.5
C1=C2C(=CS1)SC(=S)S2,-2.4
C1CC2CC=CCC2C1,-3.4
CC1=C(C=C(C2=C1C(=O)C(=O)N2)OC)Cl,-4.4
C1=C(C2=C(C(=C1Cl)Cl)NC(=O)O2)Cl,-4.0
C1C(=O)NC2=C(S1)C=C(C=C2Cl)Cl,-3.7
CC1C(=CC2=C1C=CC(=C2)OC)C,-4.1
CC1C(=CC2=C1C=C(C=C2)OC)C,-4.0
